pair_idx,imageA_name,imageB_name,annotation_idx,pt1_img,pt1_x,pt1_y,pt2_img,pt2_x,pt2_y,label,temperature
0,CE3_BMYK_PCAMR-C-007_SCI_N_20140113190639_20140113190639_0008_A.png,CE3_BMYK_PCAMR-C-021_SCI_N_20140113192112_20140113192112_0008_A.png,0,1,777,1095,1,598,1496,0,0.1129
0,CE3_BMYK_PCAMR-C-007_SCI_N_20140113190639_20140113190639_0008_A.png,CE3_BMYK_PCAMR-C-021_SCI_N_20140113192112_20140113192112_0008_A.png,1,1,1197,1018,1,2100,216,-1,0.1129
0,CE3_BMYK_PCAMR-C-007_SCI_N_20140113190639_20140113190639_0008_A.png,CE3_BMYK_PCAMR-C-021_SCI_N_20140113192112_20140113192112_0008_A.png,2,0,1470,1411,1,1596,200,-1,0.1129
1,CE3_BMYK_PCAML-C-038_SCI_N_20140112135231_20140112135231_0007_A.png,CE3_BMYK_PCAMR-C-040_SCI_N_20140112135420_20140112135420_0007_A.png,0,1,1963,1134,0,1081,1041,-1,0.3960
1,CE3_BMYK_PCAML-C-038_SCI_N_20140112135231_20140112135231_0007_A.png,CE3_BMYK_PCAMR-C-040_SCI_N_20140112135420_20140112135420_0007_A.png,1,1,850,987,0,1375,663,-1,0.3960
1,CE3_BMYK_PCAML-C-038_SCI_N_20140112135231_20140112135231_0007_A.png,CE3_BMYK_PCAMR-C-040_SCI_N_20140112135420_20140112135420_0007_A.png,2,0,798,833,0,1396,293,0,0.3960
2,CE3_BMYK_PCAML-C-032_SCI_N_20131224193437_20131224193437_0006_A.png,CE3_BMYK_PCAMR-C-033_SCI_N_20131224193523_20131224193523_0006_A.png,0,0,1186,586,1,808,1242,0,0.2745
2,CE3_BMYK_PCAML-C-032_SCI_N_20131224193437_20131224193437_0006_A.png,CE3_BMYK_PCAMR-C-033_SCI_N_20131224193523_20131224193523_0006_A.png,1,0,766,277,1,1575,686,-1,0.2745
2,CE3_BMYK_PCAML-C-032_SCI_N_20131224193437_20131224193437_0006_A.png,CE3_BMYK_PCAMR-C-033_SCI_N_20131224193523_20131224193523_0006_A.png,2,1,1323,424,0,1953,1342,0,0.2745
3,CE3_BMYK_PCAML-C-031_SCI_N_20131224193334_20131224193334_0006_A.png,CE3_BMYK_PCAML-C-044_SCI_N_20140112135845_20140112135845_0007_A.png,0,1,798,324,1,1480,887,0,0.0941
3,CE3_BMYK_PCAML-C-031_SCI_N_20131224193334_20131224193334_0006_A.png,CE3_BMYK_PCAML-C-044_SCI_N_20140112135845_20140112135845_0007_A.png,1,1,1974,354,1,1270,200,-1,0.0941
3,CE3_BMYK_PCAML-C-031_SCI_N_20131224193334_20131224193334_0006_A.png,CE3_BMYK_PCAML-C-044_SCI_N_20140112135845_20140112135845_0007_A.png,2,0,504,401,1,1249,702,0,0.0941
4,CE3_BMYK_PCAML-C-004_SCI_N_20131224185710_20131224185710_0006_A.png,CE3_BMYK_PCAMR-C-041_SCI_N_20131224194343_20131224194343_0006_A.png,0,1,1543,825,1,493,1026,0,0.0884
4,CE3_BMYK_PCAML-C-004_SCI_N_20131224185710_20131224185710_0006_A.png,CE3_BMYK_PCAMR-C-041_SCI_N_20131224194343_20131224194343_0006_A.png,1,0,955,563,1,745,254,-1,0.0884
4,CE3_BMYK_PCAML-C-004_SCI_N_20131224185710_20131224185710_0006_A.png,CE3_BMYK_PCAMR-C-041_SCI_N_20131224194343_20131224194343_0006_A.png,2,1,1344,1249,1,661,532,-1,0.0884
5,CE3_BMYK_PCAML-C-007_SCI_N_20140113190654_20140113190654_0008_A.png,CE3_BMYK_PCAMR-C-011_SCI_N_20131224190411_20131224190411_0006_A.png,0,1,2026,702,0,1585,1211,0,0.1074
